uniclinal,False
anopheles,False
sarong,False
selfmurder,False
turcoman,False
corrugator,False
anacardium,False
pock,False
knurly,False
neuroma,False
hawser,False
jolty,False
proterandry,False
leucic,False
petrescence,False
bathos,False
oblectation,False
overtread,False
taeniada,False
fun,False
mixer,False
blazer,False
elegist,False
conspirator,False
logicality,False
quinze,False
wobble,False
dissimulate,False
hempen,False
yahwe,False
solisequious,False
saline,False
grumose,False
stalagmite,False
sex,False
tympanist,False
faquir,False
oldfashioned,False
rheumides,False
inquisitorial,False
pinacate bug,True
athletism,False
pyronomics,False
vague,False
advocacy,False
manhead,False
birdcage,False
reflectible,False
enfect,False
pyrothonide,False
water featherfoil,True
pastern,False
lenient,False
massage,False
owler,False
selenic,False
outnoise,False
signification,False
hover,False
sopite,False
underclothing,False
mendicate,False
overseer,False
selftorture,False
sunniness,False
inalienably,False
relaxative,False
cheapjack,False
stabler,False
iridoline,False
advertisement,False
eloper,False
revictual,False
diphyodont,False
football,False
hiems,False
suspection,False
manequin,False
plowboy,False
mastiff,False
displume,False
postdisseizin,False
alloxanate,False
catrigged,False
deduce,False
alcoholometric,False
imprudent,False
antapoplectic,False
scaliola,False
vinometer,False
forbearant,False
forestay,False
slipperwort,False
baccarat,False
hermit,False
consequence,False
naiad,False
questorship,False
storehouse,False
shallowbrained,False
mistakingly,False
sahlite,False
nitrate,False
concent,False
howsoever,False
temporizingly,False
traditive,False
diastolic,False
traditionally,False
chromophane,False
electrolytical,False
tyfoon,False
ambient,False
spinnerule,False
bogus,False
defect,False
enchorial,False
solemnness,False
trombone,False
brewer,False
gummer,False
fulmine,False
noctilucine,False
copiousness,False
entitative,False
sunken,False
fisetic,False
boarder,False
niobate,False
challengeable,False
yelper,False
moonbeam,False
impleader,False
stelleridan,False
zouave,False
chatty,False
triens,False
coarct,False
orthognathous,False
sometime,False
hederal,False
ginglymodi,False
anthropical,False
jurat,False
pyrosulphuric,False
jihad,False
epitome,False
charlatanism,False
dispersed,False
valorous,False
manichaeism,False
phyle,False
assentator,False
exorcist,False
grapplement,False
sirvente,False
orthographical,False
epitrite,False
infrared,False
appropinquation,False
unstring,False
capsule,False
minimus,False
immusical,False
trashiness,False
angust,False
xenotime,False
train dispatcher,True
exportable,False
disrealize,False
stolid,False
gadding,False
ketone,False
monopathy,False
puberulent,False
instableness,False
millefiore glass,True
equivalue,False
abstractedness,False
zylonite,False
benevolence,False
copyist,False
fierasfer,False
fog,False
mistrow,False
hosteler,False
gorcock,False
hydraulic,False
holorhinal,False
apothegmatical,False
drasty,False
unpaganize,False
humective,False
prelector,False
revocability,False
hood,False
bibitory,False
fellowship,False
futurism,False
nucule,False
jenkins,False
pityriasis,False
reciprocornous,False
paranymph,False
subastral,False
surrogation,False
alvine,False
evangelize,False
desirably,False
bewail,False
monovalent,False
felly,False
podge,False
inexorably,False
mustahfiz,False
misproud,False
skua,False
civil service commission,True
dey,False
reduit,False
spermatooen,False
destiny,False
exposedness,False
superannuate,False
neuraxis,False
staghorned,False
epidermic,False
aromatize,False
rompingly,False
kickable,False
outcant,False
rifling,False
intendent,False
cell,False
inadequate,False
cloyless,False
store,False
gentisin,False
brainsickly,False
galliot,False
bleareyedness,False
circumflexion,False
resuscitable,False
indolence,False
creatic,False
exurgent,False
sennet,False
eggnog,False
meiocene,False
effund,False
quadrivalent,False
pyro,False
septuple,False
oylet,False
enhearten,False
disobediency,False
huttoning,False
canaliculated,False
empale,False
lecythis,False
retex,False
penholder,False
adrian,False
clinoid,False
inscriptive,False
pistolade,False
cynarrhodium,False
subpellucid,False
antheriferous,False
peripatetic,False
sortable,False
rhabdophora,False
beechy,False
strockle,False
palmatifid,False
antherozoid,False
uncreatedness,False
waterlandian,False
haematozoon,False
scringe,False
chirurgeonly,False
outline,False
reintegration,False
occultation,False
countercouchant,False
cacodylic,False
gairish,False
mestling,False
gambol,False
fenks,False
crumpy,False
controverse,False
weasel,False
elliptical,False
rhamphotheca,False
tibio,False
mysterial,False
enthronize,False
corbiestep,False
digamma,False
pigheaded,False
parka,False
variformed,False
attendement,False
pivot,False
speculative,False
synecdoche,False
introduction,False
mazdean,False
liftable,False
etherization,False
cyathophylloid,False
tetanomotor,False
preface,False
turbulent,False
paleology,False
nigh,False
